CurrentTime,LaunchTime(ms)
2021-12-16 14:11:06,1013
2021-12-16 14:11:16,933
2021-12-16 14:11:26,897
2021-12-16 14:11:36,889
2021-12-16 14:11:46,914
2021-12-16 14:11:56,876
2021-12-16 14:12:06,955
2021-12-16 14:12:16,915
2021-12-16 14:12:26,915
2021-12-16 14:12:36,935
2021-12-16 14:12:46,909
2021-12-16 14:12:56,958
2021-12-16 14:13:06,988
2021-12-16 14:13:16,958
2021-12-16 14:13:26,939
2021-12-16 14:13:36,1016
2021-12-16 14:13:46,861
2021-12-16 14:13:56,869
2021-12-16 14:14:06,830
2021-12-16 14:14:16,1134
