Current Time,Network Traffic(Bytes)
2021-12-16 19:45:59,4472111
2021-12-16 19:46:07,4472111
2021-12-16 19:46:15,4483374
2021-12-16 19:46:23,4483374
2021-12-16 19:46:31,4483374
2021-12-16 19:46:39,4483374
2021-12-16 19:46:48,4483374
2021-12-16 19:46:56,4483374
2021-12-16 19:47:04,4483374
2021-12-16 19:47:12,4483374
2021-12-16 19:47:20,4483374
2021-12-16 19:47:28,4483374
2021-12-16 19:47:36,4483374
2021-12-16 19:47:44,4483374
2021-12-16 19:47:52,4483374
2021-12-16 19:48:00,4483374
2021-12-16 19:48:08,4505952
2021-12-16 19:48:16,4526578
2021-12-16 19:48:25,4526578
2021-12-16 19:48:33,4530633
